level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1071	329	-1	
2	1	1	0	0	0	5	1	1063	302	-1	
3	1	1	1	0	0	5	1	1063	302	-1	
4	1	1	1	1	0	9	1	1050	41	-1	
5	1	1	1	1	1	9	31	34	8	68.291252	ames
5	1	1	1	1	2	48	30	49	9	91.621017	Rowswell
5	1	1	1	1	3	132	1	57	41	15.432701	—
5	1	1	1	1	4	203	31	15	8	65.066010	OF
5	1	1	1	1	5	231	1	43	38	0.000000	—
5	1	1	1	1	6	301	1	10	38	65.783310	7
5	1	1	1	1	7	343	1	10	38	68.011185	7
5	1	1	1	1	8	394	1	10	38	68.011185	7
5	1	1	1	1	9	426	1	21	38	0.000000	_
5	1	1	1	1	10	460	31	17	8	81.093880	0.0
5	1	1	1	1	11	516	1	11	38	50.049610	7
5	1	1	1	1	12	625	31	6	8	22.826141	o
5	1	1	1	1	13	664	1	10	38	65.086761	7
5	1	1	1	1	14	720	1	10	38	65.086761	7
5	1	1	1	1	15	765	31	7	8	82.787537	6
5	1	1	1	1	16	784	1	27	38	0.000000	_
5	1	1	1	1	17	832	1	11	38	60.801758	7
5	1	1	1	1	18	872	1	11	38	67.536995	7
5	1	1	1	1	19	903	1	11	38	67.484764	7
5	1	1	1	1	20	933	1	29	38	22.141663	ot
5	1	1	1	1	21	973	31	32	8	69.750465	+0.25|
5	1	1	1	1	22	1015	30	44	9	70.036682	Matches
4	1	1	1	2	0	9	51	1050	14	-1	
5	1	1	1	2	1	5	41	34	31	21.010201	jvusuf
5	1	1	1	2	2	43	53	57	9	84.148598	Akhamrich
5	1	1	1	2	3	118	41	12	31	25.608932	=
5	1	1	1	2	4	137	51	48	14	32.873672	ENG
5	1	1	1	2	5	203	54	15	8	92.011673	MF
5	1	1	1	2	6	235	54	39	8	72.542397	20-251]
5	1	1	1	2	7	300	54	6	8	72.408913	0
5	1	1	1	2	8	516	54	6	8	41.564911	o
5	1	1	1	2	9	625	54	6	8	66.185898	o|
5	1	1	1	2	10	663	54	6	8	66.185898	o
5	1	1	1	2	11	766	54	5	8	86.522324	1
5	1	1	1	2	12	1014	53	45	9	84.192467	Matches
4	1	1	1	3	0	10	68	1049	26	-1	
5	1	1	1	3	1	10	76	44	9	87.401154	Brandon
5	1	1	1	3	2	60	68	32	26	96.189621	Austin
5	1	1	1	3	3	137	74	48	13	33.174500	hens
5	1	1	1	3	4	202	77	16	8	91.165916	ck
5	1	1	1	3	5	235	77	39	8	89.909157	27-126]
5	1	1	1	3	6	300	77	6	8	88.476959	0
5	1	1	1	3	7	516	77	6	8	47.940910	0
5	1	1	1	3	8	625	77	6	8	11.119415	o|
5	1	1	1	3	9	663	77	6	8	10.126152	oo
5	1	1	1	3	10	759	69	17	25	87.401825	10|
5	1	1	1	3	11	1014	76	45	9	81.975441	‘Matches
4	1	1	1	4	0	8	96	1051	14	-1	
5	1	1	1	4	1	8	99	88	10	7.413239	\Riokyerematen
5	1	1	1	4	2	137	96	48	14	30.427338	LENG
5	1	1	1	4	3	203	99	15	8	91.431946	MF
5	1	1	1	4	4	235	99	39	8	33.778702	20-339]
5	1	1	1	4	5	300	99	6	8	91.143265	0
5	1	1	1	4	6	516	99	6	8	41.564911	o
