level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1045	228	-1	
2	1	1	0	0	0	5	14	1016	195	-1	
3	1	1	1	0	0	5	14	606	19	-1	
4	1	1	1	1	0	5	14	606	19	-1	
5	1	1	1	1	1	5	14	125	19	96.409378	Goalkeeping
5	1	1	1	1	2	137	16	83	13	96.955376	2025-2026
5	1	1	1	1	3	226	16	88	13	96.828934	Barcelona:
5	1	1	1	1	4	321	16	19	13	77.607887	La
5	1	1	1	1	5	347	16	34	17	77.607887	Liga
5	1	1	1	1	6	412	19	54	13	65.393463	Glossary
5	1	1	1	1	7	493	19	40	13	17.862633	Toggle
5	1	1	1	1	8	539	19	36	10	49.887882	Per90
5	1	1	1	1	9	579	19	32	10	66.512039	Stats
3	1	1	2	0	0	8	62	1013	112	-1	
4	1	1	2	1	0	9	62	1012	30	-1	
5	1	1	2	1	1	9	62	39	30	96.168518	Player
5	1	1	2	1	2	122	73	40	8	95.191628	Nation
5	1	1	2	1	3	174	73	22	8	86.239059	Pos
5	1	1	2	1	4	212	73	23	10	86.239059	Age
5	1	1	2	1	5	255	73	18	8	85.587273	|MP
5	1	1	2	1	6	283	73	37	8	94.652718	Starts
5	1	1	2	1	7	334	73	21	8	74.864319	Min
5	1	1	2	1	8	372	73	22	8	74.864319	90s|
5	1	1	2	1	9	408	73	17	8	89.849442	GA
5	1	1	2	1	10	436	73	32	8	89.067757	GA90
5	1	1	2	1	11	476	73	31	8	91.403198	SoTA
5	1	1	2	1	12	514	73	36	8	93.289368	Saves
5	1	1	2	1	13	558	73	42	8	93.035660	Save%
5	1	1	2	1	14	614	73	12	8	91.976616	W
5	1	1	2	1	15	647	73	38	8	33.253181	DL
5	1	1	2	1	16	705	73	16	8	63.083679	CS
5	1	1	2	1	17	732	73	72	8	52.247154	_CS%|PKatt
5	1	1	2	1	18	811	73	25	8	92.507019	PKA
5	1	1	2	1	19	843	73	30	8	87.378662	PKsv
5	1	1	2	1	20	881	73	26	8	73.164749	PKm
5	1	1	2	1	21	915	66	106	22	62.379547	Save%|Matches|
4	1	1	2	2	0	9	93	1003	14	-1	
5	1	1	2	2	1	9	96	24	8	84.928619	oan
5	1	1	2	2	2	38	95	34	9	93.476189	Garcia
5	1	1	2	2	3	119	93	45	14	26.029732	Tese
5	1	1	2	2	4	177	96	16	8	56.846848	cx
5	1	1	2	2	5	205	96	38	8	0.742798	25-010
5	1	1	2	2	6	262	96	13	8	80.081299	29
5	1	1	2	2	7	307	96	13	8	69.959450	29
5	1	1	2	2	8	331	96	31	10	69.959450	2,610
5	1	1	2	2	9	372	96	24	8	50.269188	29.0]
5	1	1	2	2	10	415	96	13	8	96.249619	20
5	1	1	2	2	11	444	96	24	8	38.483307	0.69
5	1	1	2	2	12	494	96	13	8	55.712582	91,
5	1	1	2	2	13	537	96	13	8	55.859367	73
5	1	1	2	2	14	576	96	25	8	88.918869	80.2
5	1	1	2	2	15	619	96	13	8	88.918869	26
5	1	1	2	2	16	657	96	5	8	95.156471	1
5	1	1	2	2	17	688	96	6	8	95.746849	2
5	1	1	2	2	18	712	96	13	8	89.659821	15
5	1	1	2	2	19	738	96	24	8	37.825832	Si7|
5	1	1	2	2	20	797	96	7	8	90.203026	2
5	1	1	2	2	21	829	96	7	8	90.203026	2
5	1	1	2	2	22	867	96	6	8	71.639305	0
5	1	1	2	2	23	902	96	6	8	50.425705	0
5	1	1	2	2	24	941	95	71	9	25.415161	 0.0|Matches
4	1	1	2	3	0	8	118	1004	12	-1	
5	1	1	2	3	1	4	107	53	30	60.063000	lwojciech
5	1	1	2	3	2	64	107	48	30	77.082634	Szczesny
5	1	1	2	3	3	124	107	15	30	22.271584	yg
5	1	1	2	3	4	146	119	20	8	77.866264	POL
5	1	1	2	3	5	177	119	16	8	72.777802	GK
5	1	1	2	3	6	205	119	39	8	89.122971	36-026]
5	1	1	2	3	7	269	119	7	8	85.462425	7
5	1	1	2	3	8	314	119	6	8	81.831032	7
5	1	1	2	3	9	342	119	20	8	92.116150	630
5	1	1	2	3	10	379	119	17	8	88.694176	7.0|
5	1	1	2	3	11	416	119	13	8	95.576759	12
5	1	1	2	3	12	445	119	23	8	68.712677	1.71
5	1	1	2	3	13	494	119	13	8	80.268410	29
5	1	1	2	3	14	538	119	12	8	89.094536	19
5	1	1	2	3	15	577	119	23	8	90.546059	621
5	1	1	2	3	16	625	119	7	8	93.155571	4
5	1	1	2	3	17	657	119	6	8	78.946991	0
5	1	1	2	3	18	688	119	6	8	95.441376	3
5	1	1	2	3	19	719	119	6	8	93.464493	0
5	1	1	2	3	20	744	119	17	8	64.316055	00]
5	1	1	2	3	21	797	119	7	8	94.806725	2
5	1	1	2	3	22	830	119	5	8	90.410866	1
5	1	1	2	3	23	867	119	5	8	90.689926	1
5	1	1	2	3	24	902	119	6	8	36.525497	0
5	1	1	2	3	25	935	118	77	9	36.525497	 50.0|Matches
4	1	1	2	4	0	5	131	954	29	-1	
5	1	1	2	4	1	5	131	39	29	91.220757	Squad
5	1	1	2	4	2	51	131	30	29	88.113976	Total
5	1	1	2	4	3	211	142	27	8	47.257309	25.4
5	1	1	2	4	4	245	131	8	29	47.257309	|
5	1	1	2	4	5	261	142	15	8	74.422623	36
5	1	1	2	4	6	305	142	15	8	74.422623	36
5	1	1	2	4	7	327	142	35	10	90.628456	3,240
5	1	1	2	4	8	370	142	27	8	40.763252	36.0
5	1	1	2	4	9	413	142	16	8	91.546043	32
5	1	1	2	4	10	442	142	26	8	91.546043	0.89
5	1	1	2	4	11	485	142	22	8	87.245125	120
5	1	1	2	4	12	535	142	15	8	91.416794	92
5	1	1	2	4	13	574	142	27	8	93.750069	75.8
5	1	1	2	4	14	617	142	15	8	93.940239	30
5	1	1	2	4	15	656	142	7	8	93.453606	1
5	1	1	2	4	16	687	142	7	8	93.453606	5
5	1	1	2	4	17	711	142	14	8	52.983150	15
5	1	1	2	4	18	734	142	28	8	39.357605	417|
5	1	1	2	4	19	796	142	8	8	95.762398	4
