level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	795	807	-1	
2	1	1	0	0	0	16	18	753	783	-1	
3	1	1	1	0	0	16	18	753	774	-1	
4	1	1	1	1	0	16	18	623	19	-1	
5	1	1	1	1	1	16	18	90	19	96.225929	Shooting
5	1	1	1	1	2	113	20	83	13	96.783600	2025-2026
5	1	1	1	1	3	201	20	72	13	96.315361	Chelsea:
5	1	1	1	1	4	280	20	64	13	96.538116	Premier
5	1	1	1	1	5	350	20	60	17	86.386505	League
5	1	1	1	1	6	441	22	54	13	57.111988	Glossary
5	1	1	1	1	7	521	22	41	13	9.514084	_—_Toggle
5	1	1	1	1	8	567	22	36	10	91.606056	Per90
5	1	1	1	1	9	608	22	31	10	95.015770	Stats
4	1	1	1	2	0	17	47	752	23	-1	
5	1	1	1	2	1	17	47	752	23	26.324257	es
5	1	1	1	2	2	339	43	162	38	30.322617	ee
5	1	1	1	2	3	570	47	199	23	29.561012	eee
4	1	1	1	3	0	20	67	749	29	-1	
5	1	1	1	3	1	20	67	39	29	96.332748	Player
5	1	1	1	3	2	145	77	39	8	87.174622	Nation
5	1	1	1	3	3	203	77	22	8	82.448029	Pos
5	1	1	1	3	4	247	77	23	10	73.770996	Age
5	1	1	1	3	5	288	77	22	8	0.000000	90s
5	1	1	1	3	6	313	66	6	30	0.000000	|
5	1	1	1	3	7	324	76	18	9	40.909367	Gls
5	1	1	1	3	8	356	76	15	9	80.283684	Sh
5	1	1	1	3	9	384	77	22	8	91.555771	SoT
5	1	1	1	3	10	414	77	36	8	92.012192	SoT%
5	1	1	1	3	11	458	76	38	11	92.012192	Sh/90
5	1	1	1	3	12	504	76	45	11	74.794708	SoT/90
5	1	1	1	3	13	557	76	31	11	74.794708	G/sh
5	1	1	1	3	14	596	76	39	11	83.294106	G/SoT
5	1	1	1	3	15	647	77	15	8	80.585243	PK
5	1	1	1	3	16	674	70	95	21	40.961987	PKatt|Matches|
4	1	1	1	4	0	21	91	739	16	-1	
5	1	1	1	4	1	21	99	25	8	25.127373	Enzo
5	1	1	1	4	2	51	98	56	9	25.127373	Fernéndez
5	1	1	1	4	3	140	96	47	11	8.841446	 SELARG
5	1	1	1	4	4	204	87	21	30	73.474953	MF
5	1	1	1	4	5	239	99	39	8	79.594398	25-117
