season,fbrefSeason,league,sourceFile,Player,Squad,ScreenshotSource,statType,Pos,90s,Gls,Sh,SoT,PK,PKatt,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,CS,CS%,Ast,CrdY,CrdR
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Pau Cubarsi,Barcelona,true,shooting,pr,30,1,10,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Eric Garcia,Barcelona,true,shooting,rMF,28.9,1,24,7,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Joan Garcia,Barcelona,true,shooting,ck,29,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Lamine Yamal,Barcelona,true,shooting,MrFW,25.1,16,117,37,3,4,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Gerard Martin,Barcelona,true,shooting,pr,0,6,3,50,,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,ules Kound̩,Barcelona,true,shooting,pr,24.1,1,13,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Dani Olmo,Barcelona,true,shooting,mF,22.1,7,69,21,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Pedi,Barcelona,true,shooting,MF,22.4,2,21,10,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Ferr̩n Torres,Barcelona,true,shooting,Fw,20.9,16,67,36,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,JAlgjandroBalde,Barcelona,true,shooting,OF,19.3,0,8,1,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Fermin Lopez,Barcelona,true,shooting,mr,19.5,6,65,23,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Marcus Rashford,Barcelona,true,shooting,MFFW,18.6,8,76,29,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Raphinha,Barcelona,true,shooting,MrFW,14.6,11,60,20,3,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,FrenkiedeJong,Barcelona,true,shooting,MF,17.9,1,7,2,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Robert Lewandowski,Barcelona,true,shooting,FW,16.6,13,60,28,1,3,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Ronald Aratijo SB,Barcelona,true,shooting,DF,11.1,3,11,5,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Marc Casado,Barcelona,true,shooting,mF,10.8,0,11,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,oo Cancelo,Barcelona,true,shooting,pr,9.5,1,11,3,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Wojciech Szczesny,Barcelona,true,shooting,GK,7,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,JRoony Bardahii,Barcelona,true,shooting,MFFW,6.9,1,21,12,0,0,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Andreas Christensen,Barcelona,true,shooting,DF,4.2,0,2,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Xavi Espart,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Drofem̩ndez,Barcelona,true,shooting,MF,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Alvaro Cortes,Barcelona,true,shooting,pr,1,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,fTonifern̩ndee,Barcelona,true,shooting,FW,0.5,0,0,0,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Jofre Torrents,Barcelona,true,shooting,pr,0,0,0,,0,,,,,,,,,,,,,,
2025-26,2025-2026,La Liga,Screenshot 2026-05-14 124658 - Copy.png,Tomas Marques,Barcelona,true,shooting,MF,0.1,0,0,0,,0,,,,,,,,,,,,,
